17/01/14 00:36:08 INFO client.RMProxy: Connecting to ResourceManager at controller/10.0.0.3:8032
Max number of map tasks 40
Max number of red tasks 8
shuffleInputRatio  = 0.7998113
outputShuffleRatio = 8.2158303E-4
Running on 4 nodes with 36 maps and 1 reduces.
0.42061987496670894
0.9219702595628458
Job started: Sat Jan 14 00:36:09 UTC 2017
17/01/14 00:43:48 INFO mapreduce.Job:  map 71% reduce 0%
17/01/14 00:44:40 INFO mapreduce.Job:  map 72% reduce 0%
17/01/14 00:45:03 INFO mapreduce.Job:  map 73% reduce 0%
17/01/14 00:45:48 INFO mapreduce.Job:  map 74% reduce 0%
17/01/14 00:46:21 INFO mapreduce.Job:  map 75% reduce 0%
17/01/14 00:47:00 INFO mapreduce.Job:  map 76% reduce 0%
17/01/14 00:47:30 INFO mapreduce.Job:  map 77% reduce 0%
17/01/14 00:48:12 INFO mapreduce.Job:  map 78% reduce 0%
17/01/14 00:48:24 INFO mapreduce.Job:  map 79% reduce 0%
17/01/14 00:49:09 INFO mapreduce.Job:  map 80% reduce 0%
17/01/14 00:49:45 INFO mapreduce.Job:  map 81% reduce 0%
17/01/14 00:50:22 INFO mapreduce.Job:  map 82% reduce 0%
17/01/14 00:50:52 INFO mapreduce.Job:  map 83% reduce 0%
17/01/14 00:51:30 INFO mapreduce.Job:  map 84% reduce 0%
17/01/14 00:52:06 INFO mapreduce.Job:  map 85% reduce 0%
17/01/14 00:52:48 INFO mapreduce.Job:  map 86% reduce 0%
17/01/14 00:53:09 INFO mapreduce.Job:  map 87% reduce 0%
17/01/14 00:53:54 INFO mapreduce.Job:  map 88% reduce 0%
17/01/14 00:54:09 INFO mapreduce.Job:  map 89% reduce 0%
17/01/14 00:54:55 INFO mapreduce.Job:  map 90% reduce 0%
17/01/14 00:55:13 INFO mapreduce.Job:  map 91% reduce 0%
17/01/14 00:55:55 INFO mapreduce.Job:  map 92% reduce 0%
17/01/14 00:56:35 INFO mapreduce.Job:  map 93% reduce 0%
17/01/14 00:57:07 INFO mapreduce.Job:  map 94% reduce 0%
17/01/14 00:57:34 INFO mapreduce.Job:  map 95% reduce 0%
17/01/14 00:58:14 INFO mapreduce.Job:  map 96% reduce 0%
17/01/14 00:58:52 INFO mapreduce.Job:  map 97% reduce 0%
17/01/14 00:59:25 INFO mapreduce.Job:  map 98% reduce 0%
17/01/14 00:59:58 INFO mapreduce.Job:  map 99% reduce 0%
17/01/14 01:00:32 INFO mapreduce.Job:  map 100% reduce 0%
